区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,冠城名敦道 ,2室1厅,85.03,810,95261,房本满五年,西北,精装,无,低楼层(共23层)2009年建塔楼,,-
东城,仓南胡同12号院 ,3室1厅,80.86,980,121198,房本满五年,南北,精装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,春秀路 ,2室1厅,49.36,600,121556,房本满五年,东西,简装,无电梯,底层(共6层)1998年建板楼,,-
东城,民安小区东直门北中街 ,1室1厅,60.53,780,128862,房本满五年,东,简装,有电梯,中楼层(共11层)2002年建板塔结合,,-
东城,朝阳门内大街 ,3室1厅,86.1,930,108014,房本满五年,南北,精装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,东花市北里中区 ,4室3厅,184.3,1560,84645,房本满五年,东南北,简装,无,顶层(共5层)1994年建板楼,,-
东城,崇文门西大街 ,2室0厅,49.41,580,117386,房本满五年,南,简装,无,中楼层(共12层)1979年建板塔结合,,-
东城,沙子口路65号 ,2室1厅,61.47,480,78087,房本满五年,东西,其他,无,中楼层(共6层)1985年建板楼,,-
东城,安乐林二条 ,2室1厅,77.58,580,74762,房本满五年,南北,简装,无,底层(共6层)1998年建板楼,,-
东城,冠城名敦道 ,1室0厅,63.73,540,84733,房本满五年,西,精装,有电梯,中楼层(共23层)2009年建塔楼,,-
东城,金鱼池西区 ,1室0厅,51.36,500,97353,房本满五年,东,简装,无,高楼层(共6层)2002年建板塔结合,,-
东城,北官厅胡同2号院 ,2室1厅,58.28,752,129033,,南北,简装,无,高楼层(共6层)1990年建板楼,,-
东城,新中西里 ,2室1厅,53.93,640,118673,,东,精装,无,顶层(共5层)1985年建板楼,,-
东城,永康胡同1号院 ,1室1厅,47.06,635,134935,,东西,其他,无,中楼层(共7层)2002年建板楼,,-
东城,李村南里 ,3室1厅,76.91,615,79964,房本满五年,南北,简装,无电梯,低楼层(共6层)1990年建板楼,,-
东城,仓南胡同14号院 ,3室1厅,83.51,1100,131721,房本满五年,南北,精装,无电梯,顶层(共6层)1993年建板楼,,-
东城,胡家园小区 ,3室1厅,73.59,700,95122,房本满五年,东北,精装,有电梯,低楼层(共17层)1991年建塔楼,,-
东城,景泰西里西区 ,2室1厅,76.93,620,80593,房本满五年,南北,精装,有电梯,高楼层(共10层)2005年建板塔结合,,-
东城,工体北里 ,3室1厅,68.98,730,105828,房本满五年,东西,简装,无电梯,低楼层(共6层)1984年建板楼,,-
东城,景泰西里西区 ,2室1厅,89.74,710,79118,房本满五年,南北,简装,无,低楼层(共12层)2005年建板塔结合,,-
东城,朝阳门北小街 ,2室1厅,72.11,1080,149772,房本满五年,东南,精装,无,底层(共6层)2003年建板楼,,-
